Feature,1009965,1009966,1009967,1009968,1009977,1009978,1009979,1009980,1010918,1010919,1010920,1010921,1010922,1010923,1010924,1010925,1012132,1012133,1012134,1012135,1012136,1012142,1012143,1012144,1012145,1012146,1013730,1013731,1013732,1013733,1013734,1013735,1013736,1013737,1013738,1014595,1014894,1014895,1014897,1014898,1014899,1014900,1014901,1014902,1014903,1014904,1014905,1014906,1014907,1014908,1014909,1014910,1014911,1014912,1014913,1014914,1014915,1014916,1014917,1014918,1014919,1014920,1014921
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内后视镜功能,,,,,-,-,-,-,,,,,-,-,-,-,,,,,,,,-,-,-,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○
中控彩色屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上市时间,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.02,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,●,●,●,●,-,-,-,-,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
