,1004091,1004093,1004095,1004097,1004099,1004100,1004102,1004103,1004105,1004106,1004108,1004109,1004726,1004727,1004728,1004729,1004730,1004731,1004732,1004733,1005156,1005157,1005158,1005159,1005160,1005161,1005162,1005163,1005164,1005165,1005166,1005167,1005168,1005169,1005170,1005171,1005340,1005341,1005342,1005343,1005344,1005345,1005346,1005347,1005348,1005349,1005350,1005351,1005352,1005353,1005354,1005355,1005356,1005357,1005358,1005359,1005360,1005361,1005362,1005363,1005364,1005365,1005366,1005367,1005368,1005369,1005370,1005371,1005373,1005374,1005375,1005376,1005377,1005378,1005379,1005380,1005755,1005757,1005759,1005761,1005763,1005765,1005767,1005769,1005771,1005773,1005775,1005777,1006258,1006259,1006260,1006261,1006262,1006263,1006264,1006265,1006266,1006267,1006268,1006269,1006270,1006271,1006272,1006273,1006274,1006275,1006276,1006277
前悬架类型,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架,前双摆臂式独立悬架
后悬架类型,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
后轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
发动机型号,JE493ZLQ4CB,JE493ZLQ4CB,JE493ZLQ4CB,JE493ZLQ4CB,JE493ZLQ4E,JE493ZLQ4CB,JE493ZLQ4E,JE493ZLQ4CB,JE493ZLQ4E,JE493ZLQ4CB,JE493ZLQ4E,JE493ZLQ4CB,V22,V22,V22,V22,V22,V22,V22,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,JE493ZLQ4CB,V22,D20B,D20B,D20B,D20B,D20B,D20B,D20B,D20B,D20B,D20B,D20B,D20B,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,4K21D4T,4K21D4T,4K21D4T,4K21D4T,4K21D4T,4K21D4T,4K21D4T,4K21D4T
排量(mL),2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2237,2237,2237,2237,2237,2237,2237,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2771,2019,2019,2019,2019,2019,2019,2019,2019
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,-,-,未知,未知,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),102,102,102,102,92,102,92,102,92,102,92,102,112,112,112,112,112,112,112,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,102,112,122,122,122,122,122,122,122,122,122,122,122,122,106,106,106,106,106,106,106,106,106,106,106,106,201,201,201,201,201,201,201,201
最大功率(kW)_y,75,75,75,75,68,75,68,75,68,75,68,75,82,82,82,82,82,82,82,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,75,82,90,90,90,90,90,90,90,90,90,90,90,90,78,78,78,78,78,78,78,78,78,78,78,78,148,148,148,148,148,148,148,148
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,4600,4600,4600,4600,4600,4600,4600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,3600,4600,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5600,5600,5600,5600,5600,5600,5600,5600
最大扭矩(N·m)_y,210,210,210,210,210,210,210,210,210,210,210,210,185,185,185,185,185,185,185,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,210,185,265,265,265,265,265,265,265,265,265,265,265,265,225,225,225,225,225,225,225,225,225,225,225,225,280,280,280,280,280,280,280,280
最大扭矩转速(rpm),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,2000,2400-3600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000-4800,2000-4800,2000-4800,2000-4800,2000-4800,2000-4800,2000-4800,2000-4800
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
