Feature,1013560,1013884,1013885,1013886,1013887,1013888,1013889,1013890,1013891,1013892,1013893,1013894,1013895,1013896,1013897,1013898,1014043,1014044,1014045,1014046,1014047,1014048,1014049,1014050,1014051,1014052,1014053,1014054,1014055,1014056,1014057,1014058,1014059,1014060,1014061,1014062,1014063,1014064,1014065,1014066,1014067,1014068,1014069,1014070,1014071,1014072,1014073,1014074,1014075,1014076,1014077,1014078,1014097,1014098,1014099,1014179,1014180,1014181,1014182,1014279,1014280,1014281,1014282,1015437,1015779,1015923,1015924,1015925,1016550,1016551,1016552,1016553,1016554,1016555,1016556,1016557,1016558,1016559,1016560,1016561,1016562,1016563,1016564,1016565,1016566,1016567,1016568,1016569,1016570,1016571,1016572,1016573,1016574,1016575,1016576,1016577,1016578,1016579,1016580,1016581,1016582,1016583,1016593,1016594,1016595
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,三年或10万公里,-,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,-,三年或10万公里,三年或10万公里,三年或10万公里,-,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,-,-,-,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2015,2015,2065,2005,2055,2005,2055,1905,1955,1905,1955,1890,1940,1890,1940,2065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1925,1910,2015,2005,2115,1810,2005,2005,2115,1890,1890,1905,1905,2005,2005,2015,2015,1940,1940,-,-,-,-,-,-,1810,1810,1810,1810,1910,1910,1910,1925,1925,1925,-,-,-,-,-,-,-,-,1795,1795,1795
排量(mL),2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,1997,1997,2298,2298,1997,1997,1997,2298,1997,1997,1997,1997,1997,2298,2298,2298,1997,1997,1997,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,-,-,-,-,-,-,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,-,-,-,-,-,-,-,-,1997,1997,1997
挡位个数,8,8,8,6,6,6,6,8,8,8,8,6,6,6,6,8,6,6,6,6,8,8,8,8,6,6,6,6,8,8,8,8,8,8,6,6,6,6,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,8,6,8,6,8,8,6,8,6,8,8,8,8,8,6,6,8,8,6,6,8,8,6,6,-,-,-,-,-,-,8,8,8,8,6,6,6,8,8,8,-,-,-,-,-,-,-,-,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),8.1,8.1,8.1,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.3,7.3,7.3,7.3,8.1,8.4,8.4,8.4,8.4,9.3,9.3,9.3,9.3,8.9,8.9,8.9,8.9,8.8,8.8,8.8,8.8,8.1,8.1,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.3,7.3,7.3,7.3,8.1,8.1,-,-,-,-,9.3,-,8.8,7.7,9.3,8.9,8.8,9.3,8.9,9.3,8.9,8.8,-,9.8,9.8,8.8,7.3,7.3,7.8,7.8,7.7,7.7,8.1,8.1,7.3,7.3,-,-,-,-,-,-,8.8,8.8,8.8,8.8,8.9,8.9,8.9,9.3,9.3,9.3,-,-,-,-,-,-,-,-,8.4,8.4,8.4
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1932,1932,1932,1932,1940,1850,1940,1940,1940,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,-,-,-,-,-,-,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,-,-,-,-,-,-,-,-,1850,1850,1850
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,-,-,,,-,-,,,-,-,,,-,-,,,,-,-,,,-,-,,,-,-,,,-,-,-,-,,,-,-,,,-,-,,,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,-,,-,-,,-,-,,-,,-,,-,,-,,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1590,1570,1590,1590,1590,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,-,-,-,-,-,-,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,-,-,-,-,-,-,-,-,1570,1570,1570
后轮胎规格,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/60 R18,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/65 R18,255/60 R18,255/65 R18,255/65 R18,255/65 R18,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/60 R18,-,-,-,-,-,-,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/70 R16,255/60 R18,255/70 R16,255/60 R18,255/60 R18,255/60 R18,-,-,-,-,-,-,-,-,255/70 R16,255/60 R18,255/70 R16
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,-,-,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,-,-,-,-,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,-,钢板弹簧非独立悬架,-,钢板弹簧非独立悬架,五连杆整体桥式非独立悬架,钢板弹簧非独立悬架,五连杆整体桥式非独立悬架,五连杆整体桥式非独立悬架,五连杆整体桥式非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,-,-,-,-,-,-,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,-,-,-,-,-,-,-,-,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,-,-,●,-,-,●,-,-,●,-,●,-,●,-,●,-,●,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,-,-,-,-,-,-,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,-,-,-,-,-,-,-,-,盘式,盘式,盘式
变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),-,-,-,-,-,-,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),-,-,-,-,-,-,-,-,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,8挡自动,6挡手动,8挡自动,6挡手动,8挡手自一体,8挡自动,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,-,-,-,-,-,-,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,-,-,-,-,-,-,-,-,6挡手动,6挡手动,6挡手动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机型号,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,4K31,4K31,M9T,M9T,4K31,4K31,4K31,M9T,4K31,4K31,4K31,4K31,4K31,M9T,M9T,M9T,4K31,4K31,4K31,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,-,-,-,-,-,-,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,4K31,-,-,-,-,-,-,-,-,4K31,4K31,4K31
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.3T 166马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,2.3T 166马力 L4,-,-,-,-,-,-,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,-,-,-,-,-,-,-,-,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4
压缩比,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,-,-,-,-,10.5,-,10.5,15.4,10.5,10.5,10.5,10.5,10.5,15.4,15.4,-,-,-,-,-,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,-,-,-,-,-,-,10.5,10.5,-,-,10.5,10.5,10.5,10.5,10.5,10.5,-,-,-,-,-,-,-,-,10.5,10.5,10.5
