Feature,1004594,1004598,1004602,1004606,1004611,1004613,1004615,1004617,1005280,1005281,1005282,1005284,1005679,1005680,1005681,1008097,1008099,1008101,1008103,1008105,1008107,1009540,1009541,1009549,1009552,1009935,1009936,1009937,1009938,1009939,1009940,1009941,1009942,1009943,1009944,1009945,1009946,1009947,1009948,1009949,1009950,1009951,1009952,1011720,1011721,1011722,1011996,1011997,1011998,1011999,1012000,1012001,1014531,1014533,1014535,1014537,1015043,1015276,1015277,1015278,1015279,1015280,1015281,1015282,1015283,1015284,1015285,1015286,1015287,1015288,1015289,1015290,1015291,1015292,1015293,1015294,1015295,1015296,1015297,1015298,1015299,1015300,1015301,1015302,1015303,1015304,1015305,1015306,1015307,1015308,1015309,1015310,1015311,1015312,1015313,1015442,1015443,1015444,1015445
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.3,7.4,-,7.4,-,7.4,-,7.4,-,7.6,-,7.6,-,7.6,-,7.6,-,7.6,7.6,-,7.6,-,8.3,8.3,8.3,8.3,8.3,-,-,8.3,-,8.3,-,8.3,-,8.3,-,8.3,-,7.6,8.3,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
宽度(mm),2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,2040,2040,2040,2040,2040,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-
后轮距(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
后轮胎规格,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/65 R16,215/65 R16,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/75 R16LT,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/75 R16LT,215/65 R16C,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/65 R16C,215/75 R16LT,215/75 R16LT,215/65 R16C,215/65 R16C
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,○,○,○,○,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,-,-,,,-,-,,-,,-,,,,,,,,,,,,,,,-,,,,,-,,,,-,,-,,,-,,,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,○,○,○,○,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体,5挡手动,5挡手动,6挡手自一体,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,5挡手动,5挡手动,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,5挡手动,9挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,5挡手动,9挡自动,5挡手动,9挡自动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4D20B6H,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20C6H,4D20C6H,4G20E6L,4D20C6H,4G20E6L,4D20B6H,4D20B6H,4D20B6H,4D20B6H,4D20B6H,4G20C6L,4G20C6L,4D20B6H,4G20C6L,4D20B6H,4G20C6L,4D20B6H,4G20C6L,4D20B6H,4G20C6L,4D20B6H,4G20C6L,4D20C6H,4D20B6H,4G20E6L,4G20C6L
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 121马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 202马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 143马力 L4,2.0T 143马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
压缩比,16,16,16,16,9.7,9.7,9.7,9.7,9.7,9.7,16,16,9.7,9.7,9.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),13.99万,15.29万,12.93万,14.33万,13.69万,14.99万,12.64万,14.04万,13.99万,13.04万,14.29万,13.33万,15.69万,16.99万,15.99万,16.89万,16.99万,17.09万,18.19万,18.29万,18.39万,15.05万,15.64万,15.58万,14.99万,14.58万,13.68万,16.30万,14.30万,18.60万,18.80万,13.98万,14.88万,16.60万,14.60万,13.60万,15.88万,14.98万,17.60万,15.60万,14.60万,19.90万,20.10万,18.86万,20.55万,18.55万,20.00万,20.10万,20.20万,21.71万,21.81万,21.91万,17.36万,17.30万,15.36万,15.30万,17.58万,14.38万,13.98万,14.68万,14.28万,15.38万,14.98万,15.68万,15.28万,15.28万,14.98万,15.58万,15.28万,16.28万,15.98万,16.58万,16.28万,17.58万,18.98万,18.68万,19.08万,18.78万,16.38万,16.68万,17.38万,17.68万,17.28万,16.98万,17.28万,18.28万,17.98万,18.58万,18.28万,19.78万,19.48万,20.98万,20.68万,21.08万,20.78万,19.28万,21.28万,18.98万,20.98万
厂商,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
