,1004961,1004962,1004963,1004964,1004965,1004966,1004967,1004968,1005105,1005107,1005109,1005111,1005112,1005113,1005114,1005115,1005116,1005117,1005118,1005119,1005128,1005129,1005130,1005131,1005132,1005133,1005134,1005135,1005136,1005137,1005138,1005139,1005144,1005145,1005146,1005147,1005148,1005149,1005197,1005198,1005199,1005200,1005201,1005631,1005632,1005633,1005634,1005656,1005657,1005658,1005659,1005660,1005661,1005662,1005663,1005784,1005785,1005786,1005787,1005788,1005789,1005790,1005791,1005792,1005793,1005794,1005795,1005796,1005797,1005798,1005799,1005800,1005801,1005945,1005946,1005947,1005948,1005949,1005950,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006407,1006408
高度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1790,1790,1860,1860,1860,1860,1860,1860,1790,1790,1790,1790,1860,1860,1860,1860,1860,1870,1870,1870,1870,1860,1860,1860,1860,1860,1860,1860,1860,1790,1790,1790,1790,1790,1790,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3398,3398,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3398,3398,3398,3105,3105,3105,3105,3105,3105,3398,3398,3398,3105,3105,3105,3398,3398,3398,3105,3105,3105,3105,3105,3105,3105,3105,3398,3398,3105,3105,3398,3398,3105,3105,3398,3398,3105,3105,3398,3398,3105,3398
前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1570,1570,1600,1600,1600,1600,1600,1600,1570,1570,1570,1570,1600,1600,1600,1600,1600,-,-,-,-,1600,1600,1600,1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1570,1570,1580,1580,1580,1580,1580,1580,1570,1570,1570,1570,1580,1580,1580,1580,1580,-,-,-,-,1580,1580,1580,1580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
最小离地间隙(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,200,200,200,200,220,220,200,200,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220,210,210,210,210,220,220,220,220,200,200,200,200,-,-,-,180,180,180,200,200,200,-,-,-,200,200,200,-,-,-,210,210,210,210,210,210,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
整备质量(kg),1820,1900,1820,1900,1730,1790,1730,1790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1980,1980,1980,1890,1890,1910,1910,2000,2000,1980,1980,1980,1980,1990,1990,1880,1880,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
货箱尺寸(mm),1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1805x1580x440
最大载重质量(kg),675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,475,475,450,450,450,450,-,-,475,475,475,475,600,600,600,600,600,925,925,925,925,600,600,600,600,800,800,800,800,-,-,-,-,-,-,800,800,800,-,-,-,-,-,-,-,-,-,925,925,925,925,925,925,675,675,-,-,675,675,-,-,675,675,-,-,675,675,-,-,675,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
前悬架类型,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
后轮胎规格,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
发动机型号,4G69S4M,4G20TI4,4G69S4M,4G20TI4,4G69S4M,4G20TI4,4G69S4M,4G20TI4,4G20TI4,4G20TI4,4G20TI4,4G20TI4,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,ISF2.8s5174P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4J28TC4,4J28TC4
排量(mL),2378,1981,2378,1981,2378,1981,2378,1981,1981,1981,1981,1981,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2378,-,2378,-,2378,-,2378,-,2378,-,2378,-,2378,-,2378,-,-,-
