,1004693,1004734,1004735,1004736,1004737,1004738,1004739,1004740,1004741,1004743,1004744,1004745,1004746,1004747,1004749,1004751,1004752,1004753,1004754,1004755,1004757,1004759,1004760,1004761,1004762,1004763,1004765,1004767,1004768,1004769,1004770,1004771,1004772,1004773,1004774,1004775,1004777,1004779,1004780,1004781,1004782,1004783,1004785,1004787,1004788,1004789,1004790,1004791,1004792,1004793,1004794,1004795,1004797,1004799,1004800,1004801,1004802,1004804,1005504,1005505,1005506,1005507,1005508,1005509,1005510,1005511,1005512,1005513,1005514,1005515,1005516,1005517,1005518,1005519,1005520,1005521,1005522,1005523,1005524,1005525,1005526,1005527,1005528,1005529,1005530,1005531,1005532,1005533,1005534,1005535,1005536,1005537,1005538,1005539,1005540,1005541
变速箱,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,5挡手动,5挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动
长*宽*高(mm),5365×1900×1845,5365×1900×1722,5365×1900×1722,5680×1900×1722,5680×1900×1722,5365×1900×1722,5365×1900×1722,5680×1900×1722,5680×1900×1722,5365×1900×1722,5365×1900×1722,5680×1900×1722,5680×1900×1722,5365×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5680×1900×1845,5365×1900×1722,5680×1900×1722,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1722,5680×1900×1722,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1809,5680×1900×1809,5365×1900×1845,5680×1900×1845
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5365,5365,5365,5680,5680,5365,5365,5680,5680,5365,5365,5680,5680,5365,5680,5365,5365,5680,5680,5365,5680,5365,5365,5680,5680,5365,5680,5365,5365,5680,5680,5365,5680,5365,5680,5365,5680,5365,5365,5680,5680,5365,5680,5365,5365,5680,5680,5365,5365,5680,5680,5365,5680,5365,5680,5365,5680,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680,5365,5680
宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
高度(mm),1845,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1845,1722,1722,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1722,1722,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1845,1845
轴距(mm),3155,3155,3155,3470,3470,3155,3155,3470,3470,3155,3155,3470,3470,3155,3470,3155,3155,3470,3470,3155,3470,3155,3155,3470,3470,3155,3470,3155,3155,3470,3470,3155,3470,3155,3470,3155,3470,3155,3155,3470,3470,3155,3470,3155,3155,3470,3470,3155,3155,3470,3470,3155,3470,3155,3470,3155,3470,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470,3155,3470
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),215,185,185,185,185,185,185,185,185,185,185,185,185,215,216,215,215,216,216,215,216,215,215,216,216,215,216,215,215,216,216,215,216,215,216,215,216,215,215,216,216,215,216,215,215,216,216,215,215,216,216,215,216,215,216,215,216,216,185,185,215,216,215,216,215,216,215,216,215,216,215,216,185,185,215,216,215,216,215,216,215,216,215,216,215,216,215,216,215,216,215,216,215,216,215,216
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),1485x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,5挡手动,5挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡手动,6挡手动,6挡自动,6挡自动
挡位个数,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,6,6,6,6,5,5,6,6,6,6,6,6
变速箱类型,自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT)
驱动方式,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
前悬架类型,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架,双叉臂螺旋独立悬架
后悬架类型,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架,全渐变式钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,电动助力,电动助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
