Feature,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006726,1006727,1006728,1006729,1006730,1006731,1006732,1006733,1006734,1006735,1006736,1006737,1006738,1006741,1006742,1006743,1006744,1006745,1006746,1006755,1006756,1006757,1006758,1006759,1006760,1006761,1006762,1006763,1006764,1006765,1006766,1006767,1006768,1006769,1006770,1006771,1006772,1006774,1006775,1006776,1006777,1006832,1006833,1006834,1006835,1006836,1006837,1007307,1007308,1007309,1007310,1007311,1007312,1007313,1007314,1007315,1007316,1007317,1007318,1007319,1007320,1007321,1007322,1007323,1007324,1007325,1007326,1007327,1007328,1007329,1007330,1007331,1007777,1007778,1007779,1007780,1007781,1007782,1007783,1007784,1007785,1007786,1007787,1007788,1007789,1007790,1007791,1007792,1007793,1007794,1007795,1007796,1007797,1007798,1007799,1007800
多功能方向盘,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX+SD卡插槽,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,265/70 R16,245/70 R16,245/70 R16,265/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,差速锁,差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,●,-,●,-,●,-,-,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,4G69S4M,4J28TC4,-,-,-,-,-,-,-,-,-,-,-,-,-,4G20TI4,4G20TI4,4G69S4M,4G20TI4,4G69S4M,4G20TI4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4J28TC4,4J28TC4,4G69S4M,4G69S4M,4G69S4M,4G69S4M,-,-,-,-,-,-,4F20TC2,4F20TC2,4F20TC2,4F20TC2,4F20TC2,4F20TC2,4F20TC2,4F20TC2,4G20TI3,4G20TI3,4G20TI3,4G20TI3,4G20TI3,4G20TI4,4G20TI4,4G20TI4,4G20TI4,-,-,-,-,-,-,-,-,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4G69S4M,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4J28TC4,4G69S4M,4G69S4M,4G69S4M,4G69S4M
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.0T 201马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,10,10,10,10,10,10,10,10,10,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),11.66万,12.26万,11.81万,12.41万,10.46万,11.56万,10.61万,11.71万,10.89万,10.96万,11.04万,11.11万,9.49万,10.26万,9.64万,10.41万,18.88万,15.88万,17.58万,14.58万,14.18万,13.68万,12.88万,12.38万,17.32万,16.18万,13.86万,15.73万,12.56万,16.84万,16.11万,12.79万,15.61万,14.67万,17.69万,10.83万,10.98万,10.46万,10.61万,9.08万,9.23万,8.58万,8.73万,10.76万,10.91万,9.76万,9.91万,9.16万,9.31万,7.78万,7.93万,11.24万,10.74万,9.38万,8.58万,8.08万,9.88万,17.18万,16.68万,16.38万,15.88万,15.38万,15.08万,11.18万,11.33万,10.78万,10.93万,12.08万,12.23万,12.68万,12.83万,16.38万,17.88万,16.38万,15.08万,14.28万,13.78万,14.88万,13.38万,12.28万,19.88万,18.68万,15.28万,16.48万,18.38万,16.78万,17.28万,16.28万,10.56万,10.71万,9.26万,9.41万,11.46万,11.61万,10.16万,10.31万,11.16万,11.31万,10.26万,10.41万,11.66万,11.81万,10.76万,10.91万,10.36万,10.51万,9.86万,10.01万,9.66万,9.81万,8.79万,8.94万
